1000,500,15.1/26,25884.376,1.118
1000,750,15.8/26,25998.816,1.118
1500,500,15.8/26,26245.230,1.669
1500,750,16.35/26,26563.675,1.675
1500,1000,17.0/26,26863.359,1.675
1500,1250,19.0/26,27772.952,1.673
2000,500,16.6/26,26703.341,1.911
2000,750,22.5/26,28934.638,2.083
2000,1000,23.3/26,29284.407,2.203
2000,1250,22.45/26,29046.843,2.213
2000,1500,20.4/26,28233.725,2.233
2000,1750,17.8/26,27449.105,2.233
2500,500,17.0/26,26681.885,2.102
2500,750,18.15/26,27159.383,2.413
2500,1000,19.1/26,27675.277,2.563
2500,1250,23.0/26,29202.284,2.698
2500,1500,15.9/26,26307.279,2.748
2500,1750,20.6/26,28302.042,2.761
2500,2000,16.85/26,26970.029,2.756
2500,2250,21.7/26,28705.755,2.758
3000,500,19.4/26,27893.089,2.296
3000,750,15.7/26,26456.339,2.470
3000,1000,19.2/26,27882.886,2.805
3000,1250,20.8/26,28335.074,3.098
3000,1500,22.95/26,29332.017,3.174
3000,1750,16.9/26,26875.468,3.293
3000,2000,19.0/26,27884.976,3.307
3000,2250,20.4/26,28323.713,3.304
3000,2500,21.55/26,28819.780,3.308
3000,2750,22.8/26,29234.546,3.315
3500,500,16.9/26,26731.995,1.941
3500,750,21.55/26,28672.206,2.589
3500,1000,18.1/26,27492.200,2.976
3500,1250,23.05/26,29231.535,2.998
3500,1500,17.05/26,27023.370,3.282
3500,1750,20.6/26,28323.615,3.432
3500,2000,16.9/26,26950.216,3.690
3500,2250,18.25/26,27425.618,3.807
3500,2500,15.9/26,26646.374,3.863
3500,2750,20.05/26,28321.992,3.856
3500,3000,20.6/26,28037.574,3.858
3500,3250,18.4/26,27600.921,3.857
4000,500,19.05/26,27779.182,1.978
4000,750,17.2/26,27011.712,2.678
4000,1000,20.35/26,28334.075,2.894
4000,1250,19.5/26,27852.814,3.273
4000,1500,15.4/26,26189.758,3.267
4000,1750,20.3/26,28315.025,3.641
4000,2000,17.05/26,27031.029,3.883
4000,2250,18.25/26,27432.412,4.116
4000,2500,18.5/26,27423.675,4.233
4000,2750,15.1/26,26473.671,4.345
4000,3000,19.35/26,27882.843,4.354
4000,3250,19.15/26,27891.131,4.409
4000,3500,21.55/26,28799.692,4.404
4000,3750,20.25/26,28330.736,4.405
4500,500,19.35/26,27752.348,2.241
4500,750,16.9/26,26939.146,2.530
4500,1000,21.8/26,28780.991,2.801
4500,1250,18.3/26,27460.251,3.053
4500,1500,21.3/26,28764.088,3.330
4500,1750,13.9/26,25671.111,3.786
4500,2000,12.7/26,25264.738,4.026
4500,2250,20.35/26,28357.368,4.381
4500,2500,20.5/26,28322.168,4.451
4500,2750,18.3/26,27592.495,4.694
4500,3000,18.35/26,27420.448,4.891
4500,3250,17.6/26,27032.652,4.895
4500,3500,16.65/26,26978.554,4.905
4500,3750,16.05/26,26594.363,4.960
4500,4000,19.7/26,27891.242,4.952
5000,500,15.55/26,26370.726,2.043
5000,750,17.15/26,26814.455,2.540
5000,1000,20.35/26,28314.792,2.726
5000,1250,18.05/26,27418.367,3.144
5000,1500,20.5/26,28359.383,3.492
5000,1750,14.75/26,26049.967,3.759
5000,2000,23.85/26,29682.348,3.929
5000,2250,22.5/26,29192.210,4.323
5000,2500,20.55/26,28377.569,4.673
5000,2750,20.3/26,28323.012,4.887
5000,3000,20.2/26,28333.349,5.006
5000,3250,15.95/26,26490.015,5.177
5000,3500,20.65/26,28344.579,5.314
5000,3750,19.15/26,27875.713,5.483
5000,4000,17.85/26,27435.602,5.508
5500,500,19.95/26,28197.014,1.868
5500,750,16.65/26,26972.262,2.491
5500,1000,18.35/26,27480.736,3.027
5500,1250,20.6/26,28208.619,3.271
5500,1500,20.65/26,28339.402,3.501
5500,1750,23.85/26,29684.477,3.688
5500,2000,18.2/26,27455.583,4.081
5500,2250,20.1/26,28338.030,4.345
5500,2500,18.4/26,27429.185,4.426
5500,2750,20.65/26,28320.606,4.896
5500,3000,20.4/26,28342.133,5.046
5500,3250,19.35/26,27906.241,5.065
5500,3500,16.9/26,26932.441,5.581
5500,3750,18.4/26,27430.966,5.846
5500,4000,18.6/26,27536.553,5.868
6000,500,16.45/26,26392.970,2.196
6000,750,19.35/26,27849.343,2.496
6000,1000,18.85/26,27883.079,2.722
6000,1250,19.45/26,27869.384,3.234
6000,1500,17.1/26,26962.000,3.494
6000,1750,17.3/26,27017.024,3.617
6000,2000,20.3/26,28338.358,4.094
6000,2250,18.5/26,27483.104,4.309
6000,2500,16.8/26,27051.694,4.796
6000,2750,17.95/26,27461.426,4.962
6000,3000,20.85/26,28339.796,5.262
6000,3250,22.65/26,29257.430,5.403
6000,3500,17.2/26,26990.959,5.905
6000,3750,19.35/26,27937.381,5.787
6000,4000,22.1/26,28883.534,6.242
6500,500,19.6/26,27829.220,2.251
6500,750,17.25/26,26847.346,2.483
6500,1000,22.35/26,28949.917,2.691
6500,1250,22.25/26,29226.587,3.066
6500,1500,17.1/26,26936.041,3.435
6500,1750,20.45/26,28368.956,3.880
6500,2000,19.05/26,27876.287,4.033
6500,2250,19.25/26,27912.499,4.117
6500,2500,21.8/26,28800.784,4.637
6500,2750,21.8/26,28807.062,4.894
6500,3000,16.0/26,26514.072,5.261
6500,3250,13.7/26,25622.116,5.593
6500,3500,20.45/26,28366.909,5.730
6500,3750,21.55/26,28791.269,5.935
6500,4000,18.3/26,27418.207,6.222
7000,500,20.05/26,27997.879,2.167
7000,750,19.05/26,27896.365,2.333
